clavy_id;titulo;editorial;fecha de publicación;lugar de publicación
59728;¡Catedrales, viejas catedrales!;La Novela Roja;1923;Madrid
59729;Odio y violencia;La Novela Roja;1923;Madrid
59730;Amor y púrpura. (Monólogo dramático);La Novela Roja;1923;Madrid
59731;Perfiles revolucionarios;La Novela Roja;1923;Madrid
59734;Redención imposible;La Novela Roja;1923;Madrid
59735;La muerte del genio;La Novela Roja;1923;Madrid
59737;Reyes, favoritos y validos. Reyes traidores a la patria;La Novela Roja;1923;Madrid
59738;Entre el hampa;La Novela Roja;1923;Madrid
59740;Elisabet;La Novela Roja;1923;Madrid
59743;El día de trabajo;La Novela Roja;1923;Madrid
59744;Lucerna y El cadáver viviente;La Novela Roja;1923;Madrid
59745;El prisionero;La Novela Roja;1923;Madrid
59750;Un sujeto peligroso;La Novela Roja;1922;Madrid
59751;Rojo y verde;La Novela Roja;1922;Madrid
59753;La maestra;La Novela Roja;1922;Madrid
59755;El aprendiz (aguafuerte);Pegaso;1922;Barcelona
59768;La Inquisición de Sevilla;La Novela Roja;1922;Madrid
59778;Páginas de sangre;La Novela Roja;1922;Madrid
59781;El presidiario. (Escenas de presidio);La Novela Roja;1922;Madrid
59782;Otro mártir. (Episodio de la represión en Barcelona);La Novela Roja;1922;Madrid
59784;Germinal;La Novela Roja;1922;Madrid
59785;El 606;La Novela Roja;1922;Madrid
59786;Pedro el panadero y Un sueño;La Novela Roja;1922;Madrid
59788;¡Sin trabajo!;La Novela Roja;1922;Madrid
59790;Sin trabajo;La Novela Roja;1922;Madrid
59791;Memorias de un pícaro;La Novela Roja;1922;Madrid
59792;Navidad de los pobres;La Novela Roja;1922;Madrid
59795;El terror. (Brochazos de la represión en Barcelona);La Novela Roja;1922;Madrid
59796;El último atentado;La Novela Roja;1922;Madrid
59799;Un asesino;La Novela Roja;1922;Madrid
59801;Días trágicos;La Novela Roja;1922;Madrid
59802;Horas trágicas;La Novela Roja;1922;Madrid
59803;Recuerdos del zarismo;La Novela Roja;1922;Madrid
59806;Camino del destierro. (Boceto de comedia popular en un acto);La Novela Roja;1922;Madrid
59808;La compañera;La Novela Roja;1922;Madrid
59809;La historia de Gorrita. (Páginas del destierro);La Novela Roja;1922;Madrid
59810;Cancionero de mi tierra;Juan Pueyo;1917;Madrid
59812;Ababol. Novela sobre costumbres de la huerta de Murcia;(Estab. Tip. de Calatrava);1922;Salamanca
59977;El alma del niño. Ensayos de Psicología infantil;V.H. Sanz Calleja;[1921];Madrid
59978;El alma del niño. Ensayos de Psicología infantil;V.H. Sanz Calleja;[1923];V.H. Sanz Calleja
59979;La fiesta taurina y su urgente e inexcusable dulcificación;Federación Ibérica de Sociedades Protectoras de Animales y Plantas, Sección de Madrid;1931;Madrid
59983;Embrujamiento;Cervantes;1927;Madrid
59986;Paisajes y meditaciones;Atenas A.G.;1933;Barcelona
59987;Sinfonía en rojo;Cervantes;[1929];Barcelona
59988;La hora emocionada;Cervantes;1931;Barcelona
59990;La canción cristalina;Cervantes;[1928];Barcelona
59991;Rose des bois;Plon;[1923];París
59992;El anacronópete;Daniel Cortezo;1887;Barcelona
59993;Veraneo estropeado;eLITE-CM/UCM;2017;[Madrid]
59997;Plaga de dragones;eLITE-CM/BNE;2017;[Madrid]
59998;Imágenes. (Versiones poéticas). Rosas del tiempo antiguo. Mies de hogaño;Libr. Paul Ollendorff;[1900?];París
59999;De la condición del escritor. Algunos ejemplos;Páez;1930;Madrid
60000;Instantes. Literatura, política;[Espasa-Calpe];1927;[Madrid]
60001;Aprendizaje y heroísmo. Lectura dada en la Residencia de estudiantes la noche del 20 de enero de 1915;Publicaciones de la Residencia de Estudiantes;1915;Madrid
60002;Las mujeres de la literatura;Lib. de la Viuda de Pueyo;1917;Madrid
60004;El cortejo de Minerva;Espasa-Calpe;[1930];[Madrid]
60005;Historia del periodismo desde sus comienzos hasta nuestra época;Biblioteca Nueva;1919;Madrid
60010;Marcelino Menéndez y Pelayo y la cultura alemana (9-XI-1932);Wilhelm Gronau;1932;Jena/Leipzig
60011;La leona de Castilla. Drama en tres actos, en verso;Mundo Latino;[1918];Madrid
60013;Los hijos de Madrid;Librería de Fernando Fé;1910;Madrid
60015;Curial e Güelfa. Text del XVen segle;[Imp. Casa Miquel-Rius];1932;Barcelona
60016;La bailarina. (Pantomima en un acto y dos cuadros);Imp. "Aurora";[1911];[Madrid]
60017;Juan José. Drama en tres actos y en prosa;R. Velasco, Imp.;1912;Madrid
60018;The Spanish fairy book. (Cuentos de hadas);Frederick A. Stokes;[1918];New York
60019;Elevación y caída de Porfirio Díaz;Lib. Española;[1921];México
60020;La afirmacion española. Estudios sobre el pesimismo español y los nuevos tiempos;Gustavo Gili;1917;Barcelona
60022;Ojo por ojo... (Cartas de José Cacumendi a Manuel Briz);Sociedad General Española de Librería;1915;Madrid
60023;Colección. Poesías;(Imp. de Caro Raggio);1924;Madrid
60025;Florilegio;García Monge y Cía.;[1920];San José de Costa Rica
60026;Un cementerio en las Antillas;[Imp. de Galo Sáez];1933;Madrid
60027;La decandecia de la risa;Biblioteca Nueva;[19--];Madrid
60029;Memorias póstumas de Blas Cubas;Garnier Hnos.;[193-?];París
60030;La posada y el camino. Versos;Imp. Artística Saez Hnos.;1928;Madrid
60031;Gabriel Miró (el escritor y el hombre);[s.n.];1931;Valencia
60033;A son of the hidalgos;Doubleday;1921;Garden City, N.Y.
60035;Patrañas. Cuentos;Rafael Caro Raggio;[1921];Madrid
60036;Jacinta la pelirroja. Poema en poemas y dibujos;Imp. Sur;1929;Málaga
60037;Evoluciones. Cuentos, caprichos, bestiario, epitafios y obras paralelas;Calleja;1918;Madrid
60038;El luchador. Novela;Renacimiento;1916;Madrid
60039;Lucha extraña;The Century co.;1925;New York & London
60042;Hombres, hombrecillos y animales;Biblioteca Nueva;[1917];Madrid
60043;Cómo se conquista la notoriedad. Los favoritos de la multitud;Pueyo;1920;Madrid
60044;Marcelino Menéndez Pelayo (su vida y su obra);Lib. de los Sucesores de Hernando;1912;Madrid
60045;Flor pagana;(Tip. de la "Revista de Archivos");1905;Madrid
60046;Las llamas de "El Fénix". Breviario íntimo de Fray Lope Félix de Vega Carpio;Pueyo;1934;Madrid
60047;El molino de viento;Sempere;1925;Valencia
60048;El rey Galaor. Tragedia en tres actos y en verso inspirado en un poema de Eugenio de Castro. El triunfo del amor. Leyenda en dos actos de Giuseppe Giacosa;Mundo Latino;[1918];Madrid
60049;Vida azarosa de Lope de Vega;Juventud;[1935];Barcelona
60050;Andalucía la Baja (poemas en verso);Mejías y Susillo, Imp.;[1926];Sevilla,
60051;La Maja de Goya. Drama en tres actos;V. H. de Sanz Calleja;[1917];Madrid
60052;Judith. Tragedia bíblica en tres actos y en verso;Renacimiento;1913;Madrid
60053;Bolívar, poema romántico original y en verso, en un prólogo y tres actos;Maucci;[192-];Barcelona
60054;Trata de blancas (Mavi). Comedia original e inédita;La Novela Corta;[1916];[Madrid]
60055;El moralista. Novela inédita;La Novela Corta;[1916];[Madrid]
60057;Por el mundo de la farsa (palabras de un farsante);Renacimiento;[1931];Madrid
60058;Oceanografía del tedio. Historias de las esparragueras;Calpe;[1921];[Madrid]
60059;Dramas y comedias. El intérprete de Hamlet. El último de la clase;V.H. de Sanz Calleja;[1915];[Madrid]
60060;Guillermo Tell. Tragedia política en tres jornadas;Sempere;1926;Valencia
60061;La muerte de Isidro Nonell, seguida de otras arbitrariedades y de la oración a Madona Blanca Maria;V. Suárez;1905;Madrid
60062;El juez que perdió la conciencia. Novela;Mundo Latino;[1925];Madrid
60063;The romantic young lady (Sueño de una noche de agosto). Comedy in three acts;London S. French;[ca. 1923];New York, S. French
60064;La hora española. Ensayos;Compañía Iberoamericana de Publicaciones (CIAP);[1930];Madrid [etc.]
60065;Los paladines iluminados;Gustavo Gili;1926;Barcelona
60066;Hermann, encadenado;Renacimiento;1924;Madrid
60067;Muecas. Crítica y sátira;Sociedad de Ed. Literarias y Artísticas;1908;París
60068;Del cercado ajeno. Versiones poéticas;M. Pérez Villavicencio;1907;Madrid
60069;La sombra del ensueño;Garnier Hnos.;[1910];París
60070;Obras completas de Rosalía de Castro;Páez;[1925?];Madrid
60072;Poesías;"La Lectura";1921;Madrid
60074;Tiger Juan;Macmillan;1933;New York
60075;Un viaje de novios;Pueyo;1919;Madrid
60076;Disparadero español;Ediciones del Árbol;1936-;Madrid
60077;Tiger Juan;Jonathan Cape;[1933];London
60078;Cuentos de la tierra (obra póstuma);Editorial Atlántida,;1922.;Madrid,
60080;Obras completas de Augusto Ferràn;La España Moderna;[1893];Madrid
60081;Blanco Ibañez, Vicente;La Novela Mundial;1928;Madrid
60082;Tinieblas en las cumbres (historias de libertinaje);F. Fé;[1907];Madrid
60084;La declamación española;Tip. de Francisco de P. Díaz;1894;Sevilla
60085;La corte de Tetuán;Imp. Helénica;1913;Madrid
60087;La agonía del Mogreb;Imp. Helénica;1912;Madrid
60088;Gente, gentecilla y gentuza. Críticas y sátiras;Reus;[1931?];Madrid
60089;Arte y Estado;[Gráfica Universal];1935;Madrid
60090;El poema de la pampa, "Martín Fierro" y el criollismo español;Calleja;1918;Madrid
60091;La intimidad literaria;Saturnino Calleja;1919;Madrid
60092;En la vida del Señor Alegre. Novela;Rafael Caro Raggio;[1924];Madrid
60094;Discursos leídos ante la Real Academia Española en la recepción pública de D. Emilio Ferrari el dia 30 de abril de 1905;Ambrosio Pérez y Cía.;1905;Madrid
