clavy_id;recursos;nombre;género;fechas asociadas al nombre
59707;2;Seguí, Salvador;Hombre;1886-1923
59711;1;Endériz,  Ezequiel;Hombre;1889-1951
59713;1;Karr, Alfonso;;
59714;1;Díez, Galo;Hombre;
59716;1;Puig y Ferrater, Juan;Hombre;
59720;1;Somoza Silva, Lázaro;Hombre;
59724;1;Río del Val, José del;Hombre;
59726;1;Marsa, Ángel;Hombre;
59732;1;Dragomanov, Mykhailo;Hombre;1841-1895
59733;1;Machado, Augusto;Hombre;
59736;1;Leval, Gastón;;
59739;1;Andréiev, Leonid;Hombre;1871-1919
59741;1;Alaiz, Felipe;;
59742;1;Marx, Karl;Hombre;1818-1863
59746;1;Martínez Carrasco, Alfonso;Hombre;
59747;1;Pintado, Fernando;Hombre;
59752;1;Quemades, Salvador;Hombre;
59756;3;Samblancat, Ángel;Hombre;1885-1963
59757;1;Moya del Pino, José;Hombre;1891-1969
59758;5;Varela de Seijas, Enrique;Hombre;18??-1930
59779;1;Urales, Federico;Hombre;1864-1942
59780;4;García Segura, Elías;Hombre;
59783;2;Úbeda, Rogelio;Hombre;
59787;1;Brandao, Raúl;Hombre;
59789;2;Tolstoi, León;Hombre;1828-1910
59793;1;Zola, Émile;Hombre;1840-1902
59794;1;Boixader, Francisco F.;Hombre;
59797;1;Bel, Gil;;
59798;1;Chueca, José;;
59800;1;Polanco, Abraham;Hombre;
59805;2;Gorki, Máximo;Hombre;1868-1936
59807;1;Guillén, Pascual;;
59811;1;Pi y Arsuaga, Francisco;Hombre;1865-1912
59814;1;Gros, Julio;Hombre;
59815;2;Perea, Alfredo;Hombre;1839-1895
59821;1;García y Barbarín, Eugenio;Hombre;
59823;1;Torromé, Rafael;Hombre;1861-1924
59826;1;Álvarez y Álvarez, Fernando;Hombre;
59830;1;Aguirre Ibáñez, Rufino;Hombre;
59834;2;Garrán, Enrique;Hombre;
59847;1;Escudero, Luisa;Mujer;
59849;1;Caballero, Fernán;Mujer;1796-1877
59855;1;Domingo Soler, Amalia;Mujer;1835-1909
59856;1;Anguiz, Antonio;Hombre;
59857;1;Baró, Teodoro;Hombre;1842-1916
59863;2;Antequera Azpiri, Pedro;Hombre;1892-1975
59866;1;Galván;;
59869;1;Palma, Angélica;Mujer;1878-1935
59874;1;Bielyk;;
59876;1;Grave, Jean;Hombre;1854-1939
59879;4;Bolinaga, Josefina;Mujer;
59881;2;Helguera, Jesús de la;Hombre;1910-1971
59883;1;Pedrero, Mariano;Hombre;1865-1927
59886;1;Fatou Lucas, Francisco;Hombre;
59890;1;Heredia de Azcona, María;Mujer;
59892;1;Groizard, Pedro;Hombre;
59894;1;Vigil, Constancio C.;Hombre;
59895;8;Abril, Manuel;Hombre;1884-1940
59898;1;Renau, Josep;Hombre;1907-1982
59902;3;Climent, Enrique;Hombre;1897-1980
59904;2;Treves Tedeschi, Virginia;Mujer;
59909;3;Trujillo, Federico;Hombre;
59911;1;Icaza de Briceño, María Magdalena de;Mujer;
59914;1;Treceño, Anastasio M.;Hombre;
59915;1;Laporta, Francisco;Hombre;1850-1914
59917;1;Muiños Sáenz, Conrado;Hombre;1858-1913
59918;1;Taberner, Luis;Hombre;1844-1900
59922;4;Perrault, Charles;Hombre;1628-1703
59927;1;Esplandiu, Juan;Hombre;1901-1978
59932;2;Ceballos Quintana, Enrique;Hombre;
59934;2;Mühlen, Herminia Zur;Mujer;1883-1951
59936;1;Cea de Torres, Adolfo;Hombre;
59937;1;D. V. y C.;;
59938;1;C. G.;;
59942;1;A. C.;;
59943;1;Aller Soto, Felicísimo;Hombre;1926-
59944;4;Puyol, R.;;
59945;1;Villacañas Palomo, Beatriz;Mujer;
59958;1;Vilanova y Pizcueta, Francisco de P.;Hombre;n. 1859
59959;1;Campflorit, C. E. de;;
59980;1;Lozano y Rey, Luis;Hombre;1879-1958
59981;1;Ruiz Ferry, Ricardo;Hombre;(1879-1956)
59984;27;Mulder, Elisabeth;Mujer;(1904-1987)
59985;1;Buck, Pearl S.;Mujer;
59989;0;Up de Graff, F. W.;Hombre;(1873-1927)
59994;1;Nesbit, E.;Mujer;1858-1924
59995;1;Sopena, Ramón;Hombre;1867-1932
59996;3;Fraga, María Jesús;Mujer;1947-
60003;3;Oteyza, Luis de;Hombre;1883-1961
60007;1;Monasterios, J.O.;;
60008;2;Segovia, Gertrudis;Mujer;
60009;1;Quinn, Elisabeth Vernon;Mujer;
60012;2;López Lapuya, Isidoro;Hombre;
60014;1;Par, Anfòs;Hombre;1879-1936
60021;1;Miquel y Planas, Ramón;Hombre;1874-1950
60024;1;Ureta, Alberto;Hombre;1885-1966
60028;2;Mesa López, Rafael;Hombre;
60032;1;Gil-Albert, Juan;Hombre;1904-1994
60034;33;León, Ricardo;Hombre;1877-1943
60040;1;Britton, Harold Hudson;Hombre;
60041;1;Albaladejo, José M.;Hombre;
60056;30;Sassone, Felipe;Hombre;1884-1959
60071;1;Izquierdo Corral, Pedro;Hombre;
60073;2;Campoamor, Ramón de;Hombre;1817-1901
60079;3;Ferrán y Forniés, Augusto;Hombre;1835-1880
60083;1;Funes, Enrique;Hombre;1851-1904
60086;4;Muñoz, Isaac;Hombre;1881-1925
60093;7;Pérez, Dionisio;Hombre;1871-1935
60095;6;Echegaray, José de;Hombre;1832-1916
60097;1;Nola, Roberto de;Hombre;S.XV
60103;1;Maseras, Alfons;Hombre;1884-
60108;6;Rusiñol, Santiago;Hombre;1861-1931
60112;1;Gardner, May;Mujer;
60113;2;Owen, Arthur Leslie;Hombre;1885-
60115;6;Álvarez Quintero, Joaquín;Hombre;1873-1944
60116;1;Boscán, Juan;Hombre;d. 1542.
60117;1;Vega, Garcilaso de la;Hombre;1503-1536
60120;6;Alvarez Quintero, Serafín;Hombre;1871-1938
60121;1;Turrell, Charles Alfred;Hombre;
60125;4;Torres Bernal, José de;Hombre;
60137;1;Aparicio, Manuel J.;Hombre;
60140;1;Sarrailh, Jean;Hombre;1891-1964
60144;1;Urrabieta Vierge, Daniel;Hombre;1851-1904
60156;10;Vivero, Augusto;Hombre;1879-1939
60157;1;Villa, Antonio de la;Hombre;1881-1963
60160;1;Ford, Richard;Hombre;1796-1858
60162;1;Wencker, Friedrich;Hombre;1896-1970
60169;1;Ruiz Martínez, Cándido;Hombre;(n. 1862)
60174;1;Pagano, José León;Hombre;1875-1965
60176;14;Más y Laglera, José;Hombre;1885-1941
60180;2;González Olmedilla, Juan;Hombre;1893-
60181;3;Unamuno, Miguel de;Hombre;1864-1936
60182;1;Hood, George W.;Hombre;
60187;3;Saavedra Rivas, Ángel de;Hombre;1791-1865
60210;8;García Carraffa, Arturo;Hombre;1885-
60220;10;López de Haro, Rafael;Hombre;1876-1967
60228;1;Ingraham, Edgar Shugert;Hombre;1876-
60230;7;López Alarcón, Enrique;Hombre;1881-1948
60241;20;Fernández-Flórez, Wenceslao;Hombre;1885-1964
60244;2;Gutiérrez González, Gregorio;Hombre;1826-1872
60247;1;Jurado de la Parra, José;Hombre;1856-1943
60252;1;Fernández de la Fuente, Manuel;Hombre;
60259;12;González Anaya, Salvador;Hombre;1879-1955
60301;1;Gálvez, Manuel;Hombre;1882-1962
60313;1;Andeyro del Castillo, Eduardo;Hombre;
60329;2;Aguilar y Tejera, Agustín;Hombre;1890-
60331;22;Castro, Cristóbal de;Hombre;1880-1953
60350;1;England, George Allan;Hombre;1877-1937
60366;1;Donoso, Armando;Hombre;1887-1946
60371;2;Ruiz de la Serna, Enrique;Hombre;
60373;13;Barriobero y Herrán, Eduardo;Hombre;1877-1939
60384;1;Sepúlveda, Ricardo;Hombre;1846-1909
60394;1;Cucala y Boix, José;Hombre;
60396;1;Rentero, Manuel Genaro;Hombre;d. 1894
60398;1;Medel, Ángel;Hombre;
60400;1;Sánchez Pérez, Antonio;Hombre;1838-1912
60402;1;Solas, Pedro Jesús;Hombre;1852-
60404;1;Araujo, Carlos;Hombre;1856-1925
60406;1;Guillén, Eduardo;Hombre;
60419;6;González-Blanco, Pedro;Hombre;1879-1961
60437;1;Faure, Élie;Hombre;1873-1937
60439;1;Pérez de Guzmán, Juan;Hombre;1841-1928
60469;1;Escalante y Prieto, Amós de;Hombre;1831-1902
60495;1;Blasco, Ricardo;Hombre;1852-1917
60500;1;Brea, Manuel;Hombre;
60503;6;Serrano, José;Hombre;1873-1941
60504;4;Chueca, Federico;Hombre;1846-1908
60506;11;Acuña y Villanueva, Rosario de;Mujer;1850-1923
60507;2;Canalejas, Federico;Hombre;
60508;1;Barraycoa, Francisco;Hombre;
60513;2;Quislant, Manuel;Hombre;1871-1949
60515;3;Medina, Vicente;Hombre;1866-1937
60522;3;Álvarez García, Rafael;Hombre;
60523;2;González del Castillo, Emilio;Hombre;1883-1940
60524;2;Pérez López, José;Hombre;
60526;1;Badía, Pedro;Hombre;
60529;1;Álvarez López, Enrique;Hombre;
60530;1;Azara, Félix de;Hombre;1746-1821
60537;1;Faure, Sébastien;Hombre;1858-1942
60539;0;Delgado, Teodoro;Hombre;
60542;1;Colorado, Vicente;Hombre;
60547;7;Lejárraga, María;Mujer;1874-1974
60548;1;Kœckert;;
60551;2;Praga, Marco;Hombre;1862-1929
60553;17;Arniches, Carlos;Hombre;1866-1943
60556;29;Chapí, Ruperto;Hombre;1851-1909
60564;1;Astray Reguera, Margarita;Mujer;1885-1936
60567;1;Berr, Georges;Hombre;1867-1942.
60570;2;Foglietti Alberola, Luis;Hombre;1877-1918
60573;1;Gavault, Paul;Hombre;1867-1951
60574;3;Dotesio, Carlos;Hombre;
60576;1;Beaumarchais, Pierre Augustin Caron de;Hombre;1732-1799
60577;2;Borragán de Alonso, María Teresa;Mujer;1889-1961
60583;2;Castilla, Vicente;Hombre;
60585;2;Alberti, José Ignacio de;Hombre;
60590;8;López Acebal, Francisco;Hombre;1866-1933
60592;2;Morera, Enric;Hombre;1865-1942
60593;2;Castro, Eugenio de;Hombre;1869-1944
60595;1;García y García, Joaquín;Hombre;
60597;1;Altolaguirre Álvarez, Manuel;Hombre;1864-1910
60600;1;González Palomares, Joaquín;Hombre;
60601;1;Blasco, Eusebio;Hombre;1844-1903
60605;3;Brull y Ayerra, Apolinar;Hombre;1845-1905
60615;3;Merlo, Antonio;Hombre;
60616;5;Pedro, Valentín de;Hombre;1896-1966
60617;1;Prévost, Antoine François;Hombre;1697-1763
60622;1;Goldoni, Carlo;Hombre;1707-1793
60639;1;Asensio Navarro, Santos L.;Hombre;
60650;1;López del Toro, Emilio;Hombre;1873-?
60652;1;Font y de Anta, Manuel;Hombre;1895-1936
60653;1;Pérez Giralde, Ismael;Hombre;1872-
60657;7;Camba, Francisco;Hombre;1882?-1947
60659;1;Cuenca, Adolfo;Hombre;
60664;36;Sinués de Marco, María del Pilar;Mujer;1835-1893
60670;3;Fuente, Ricardo;Hombre;1870-1925
60676;1;Guillén, Alberto;Hombre;1897-1935
60681;1;Hostench, Francisco;Hombre;
60690;2;Fernández Flórez, Isidoro;Hombre;1840-1902
60723;1;López Martín, Fernando;Hombre;
60733;3;Santiago Fuentes, Magdalena de;Mujer;1873-1922
60735;4;Cervantes Saavedra, Miguel de;Hombre;1547-1616
60738;7;San José, Diego;Hombre;1884-1962
60748;4;Tapia, Luis de;Hombre;1871-1937
60755;3;Díez de Tejada, Vicente;Hombre;1872-1940
60770;1;Sánchez Prieto, Julián;Hombre;1886-1979
60774;3;Urbano, Rafael;Hombre;1870-1924
60785;1;Rucabado, Ramón;Hombre;1886-
60786;1;Farrán, Jaime;Hombre;
60793;1;López Núñez, Juan;Hombre;
60803;2;Heine, Heinrich;Hombre;1797-1856
60807;1;Goldberg, Isaac;Hombre;1887-1938
60809;1;McMichael, Charles B.;Hombre;b. 1850
60811;1;Salterain Herrera, Eduardo de;Hombre;b. 1892.
60826;1;Sánchez Díaz, Ramón;Hombre;1869-1960
60828;1;Ramón y Cajal, Santiago;Hombre;1852-1934
60833;1;Torres, Carlos Arturo;Hombre;1867-1911
60839;2;Santos Chocano, José;Hombre;1875-1934
60840;1;Romero de Torres, Julio;Hombre;1874-1930
60851;1;Alcaide de Zafra, Angelina;Mujer;1891-
60853;1;Simarro y Lacabra, Luis;Hombre;1851-1921
60854;3;Torralva Beci, Eduardo;Hombre;1881-1929
60857;1;Guerrero y Pallarés, Teodoro;Hombre;1824-1904
60858;2;Pérez Nieva, Alfonso;Hombre;
60866;2;Händel, Georg Friedrich;Hombre;1685-1759
60868;1;Cheix Martínez, Isabel;Mujer;1839-1899
60870;1;Zuloaga, Ignacio;Hombre;1870-1945
60873;2;Espinosa, Aurelio Macedonio;Hombre;1880-1958
60875;1;Knapp, William Ireland;Hombre;1835-1908.
60879;1;Díaz Sánchez, Francisco;Hombre;
60881;1;Quijano Otero, José María;Hombre;
60882;1;López, Manuel Antonio;Hombre;1803-1891
60884;1;Pautet, Louis;Hombre;1862-
60896;1;Ballesteros de Martos, Antonio;Hombre;
60898;1;Popper-Lynkeus, Josef;Hombre;1838-1921
60899;17;Pérez de Zúñiga, Juan;Hombre;1860-1938
60902;1;Carlyle, Thomas;Hombre;1795-1881
60911;1;Cantó, Gonzalo;Hombre;1859-1931
60916;1;Fabela, Isidro;Hombre;1882-1964
60920;50;García Álvarez, Enrique;Hombre;1873-1931
60921;1;Blacam, Hugh de;Hombre;1891-1951
60923;3;Dantas, Julio;Hombre;1876-1962
60925;0;Abati, Joaquín;Hombre;
60935;1;Flaten, Nils;Hombre;1867-1947
60938;1;Torres-Rioseco, Arturo;Hombre;1897-
60962;1;Miranda, Carlos;Hombre;1868-
60968;1;Ugarte y Pagés, Francisco Javier;Hombre;1852-1919
60972;1;Bunge, Carlos Octavio;Hombre;1875-1918
60974;1;Godoy, Ramón de;Hombre;1867-1917
60978;5;Zayas, Antonio de;Hombre;1871-1945
60980;1;Jonson, Ben;Hombre;1573?-1637
60987;8;Goy de Silva, Ramón;Hombre;1883-1962
60990;2;Briceño, Olga;Mujer;
60996;1;Chacón Ferral, Antonio;Hombre;1868-1929
61000;1;Cordero, Juan Luis;Hombre;1882-1955
61004;1;Balseiro, José Agustín;Hombre;1900-1991
61009;2;Fastenrath, Johannes;Hombre;1839-1908
61014;2;Dante Alighieri;Hombre;1265-1321
61019;3;Cortina, R. Díez de la;;1859-
61020;3;Pérez Escrich, Enrique;Hombre;1829-1897
61024;9;Marquina, Rafael;Hombre;1887-1960
61028;6;Heras, Antonio;Hombre;
61030;4;Bello, Luis;Hombre;1872-1935
61033;1;Clascar, Frederic;Hombre;1873-1919
61037;1;Serrano de Xandri, Leonor;Mujer;1890-1942
61039;1;Cortés, Hernán;Hombre;1485-1547
61041;2;Gil, Ricardo;Hombre;1853-1907
61054;1;Maristany, Fernando;Hombre;
61064;1;Nadal, Alfonso;Hombre;1886-1943
61066;3;Morgan, Charles;Hombre;1894-1958
61068;1;Santainés, Simón;Hombre;
61070;1;Bertrán, Luis Ignacio;Hombre;
61076;1;Durán, Fernando;Hombre;
61078;1;Vega, J.;Hombre;
61080;1;Monguió, María Teresa;Mujer;
61082;1;Rabinad, Antonio;Hombre;1927-2009
61083;3;Martínez Sagi, Ana María;Mujer;1907-2000
61084;1;Ferran de Pol, Lluís;Hombre;
61086;1;Naveira, Rosa S. de;Mujer;
61088;1;Potons, Paul L.;Hombre;
61093;2;Rabadán, Aroa;Mujer;
61094;1;Palenque, Marta;Mujer;
61095;1;González Soriano, José Miguel;Hombre;
61102;1;Correa Román, Marta;Mujer;
61103;1;Duhamel, Georges;Hombre;1884-1966
61116;3;Genaille, Robert;Hombre;
61129;0;Commeleran, Joan;Hombre;1902-1992
61137;7;Serrano Plaja, Arturo;Hombre;1909-1979
61138;0;García Pavón, Francisco;Hombre;1919-1989
61139;3;Larrea, Juan;Hombre;1895-1980
61140;5;Buñuel, Luis;Hombre;1900-1983
61145;0;Mihura, Miguel;Hombre;1905-1977
61147;0;Calvo-Sotelo, Luis Emilio;Hombre;
61149;0;Bardem, Juan Antonio;Hombre;1922-2002
61151;0;García Berlanga, Luis;Hombre;1921-2010
61153;1;Wilde, Oscar;Hombre;1854-1900
61155;1;Dostoevskiï, Fiodor Mijaïlovich;Hombre;1821-1881
61157;0;Nonell Masjuan, Carmen;;1915-
61163;1;Angulo, Julio;Hombre;1902-1967
61167;1;Castelucho, Antonio;Hombre;1835-1910
61169;1;Comenge, Luis;Hombre;
61170;0;Nogales Hidalgo, Manuel;Hombre;
61171;1;Eriz, Pedro;Hombre;1851-1901
61172;0;Serrada Hierro, Jesús;Hombre;
61177;1;Fernández Grajal, Manuel;Hombre;1838-1920
61178;1;Fernández Grajal, Tomás;Hombre;1839-1914
61180;2;Opisso, Ricard;Hombre;1880-1966
61185;0;Marrero Morales, Miguel;Hombre;
61186;2;Chejov, Anton Pavlovich;Hombre;1860-1904
61197;1;Lawrence, T. E.;;1888-1935
61200;1;Caula, Antonio de;Hombre;1847-?
