clavy_id,"editorial","titulo","lugar de publicaci�n","fecha de publicaci�n"
59563,"El Cuento Semanal","Por dónde viene la dicha",,
59565,"El Cuento Semanal","Las posadas del amor",,
59622,"Tip. de la Casa Ed. Maucci","México y sus gobernantes de 1519 a 1910. Biografías, retratos y autógrafos (iconografía completa), con una reseña histórica anterior al descubrimiento y conquista",,
59623,"(Imp. de Bernabé Fernández)","La pastora del Guadiela. Novela original",,
59624,"Maucci","La senda del Calvario. Nueva y completa Semana Santa en prosa y verso: las siete palabras: oraciones para la Santa Misa, en prosa, oraciones para la mañana y la noche ...",,
59625,"Fidel Giró","América y sus mujeres. Estudios hechos sobre el terreno",,
59626,"(Imp. de Henrich y Cía.)","América en fin de siglo. Actualidades, sucesos, apreciaciones, semblanzas, datos históricos",,
59627,"(Imp. ""Las Noticias"")","El camino de la cruz. Poema religioso. Las siete palabras",,
59628,"[s.n.]","Americanos célebres. Glorias del Nuevo Mundo",,
59629,"(Tip. de Walder)","Alfonso el Grande. Poema histórico dedicado a S.M. la Reina Dª Isabel Segunda",,
59630,"Libr. de A. Bouret e Hijo","Almacén de las señoritas",,
59632,"Imp. y Libr. de Abundio Z. Menéndez","Colón. Poema",,
59634,"(Imp. y Fundición de M. Tello)","A San Juan de la Cruz. Poesía de doña Carolina Valencia, premiada en público certamen por la Real Academia Española y publicada a sus expensas",,
59637,"Libr. de Fernando Fe","Mis cantares",,
59638,"(R. Velasco, Imp.)","¡¡La estocá de la tarde!!  Zarzuela en un acto, dividido en cinco cuadros, en prosa",,
59641,"Ed. Libertad","¿Quo vadis, burguesía?",,
59644,"(Imp. de Salvador Manero)","Aurora y Felicidad. Novela de costumbres",,
59646,"(Imp. de Pedro Núñez)","El deber cumplido. Novela original",,
59647,"(Imp. de Francisco Macías)","La cadena rota. Drama en tres actos y en verso",,
59649,"(Estab. Tip. de R. Vicente)","Ángela o El ramillete de jazmines. Novela original",,
59650,"[La Violeta]","La Violeta. Revista hispano-americana. Literatura, ciencias, teatros y modas",,
59651,"Libr. de Miguel Guijarro","Los miserables de España o Secretos de la Corte. Novela de costumbres",,
59652,"(Imp. de Bernabé Fernández Barco)","La marquesa de Pinares (segunda parte de La pastora del Guadiela)",,
59685,"La Novela Roja","En la roca de La Mola. (Memorándum de un confinado)",,
59687,"La Novela Roja","Papa y papá",,
59688,"La Novela Roja","La máquina infernal",,
59691,"La Novela Roja","Los proscritos. (De unos años de dolor y de terror)",,
59692,"La Novela Roja","La roja",,
59693,"La Novela Roja","Los mártires del sindicalismo",,
59694,"La Novela Roja","El dolor errante",,
59699,"La Novela Roja","El traidor y la recompensa",,
59704,"La Novela Roja","Episodios de la lucha",,
59708,"La Novela Roja","La cena de los cardenales",,
59709,"La Novela Roja","Apariencias",,
59710,"La Novela Roja","Diálogos cortos",,
59712,"La Novela Roja","La gloria militar",,
59715,"La Novela Roja","Delatores",,
59717,"La Novela Roja","Diálogos dramáticos",,
59718,"Ediciones Libertad","Una pedrada a la virgen",,
59719,"La Novela Roja","La canción del réprobo",,
59721,"La Novela Roja","Los ídolos caídos",,
59722,"La Novela Roja","Los victimarios",,
59723,"La Novela Roja","La voz de la sangre",,
59725,"Ediciones Libertad","Sindicalista en acción",,
59727,"La Novela Roja","El terrorista blanco",,
59728,"La Novela Roja","¡Catedrales, viejas catedrales!",,
59729,"La Novela Roja","Odio y violencia",,
59730,"La Novela Roja","Amor y púrpura. (Monólogo dramático)",,
59731,"La Novela Roja","Perfiles revolucionarios",,
59734,"La Novela Roja","Redención imposible",,
59735,"La Novela Roja","La muerte del genio",,
59737,"La Novela Roja","Reyes, favoritos y validos. Reyes traidores a la patria",,
59738,"La Novela Roja","Entre el hampa",,
59740,"La Novela Roja","Elisabet",,
59743,"La Novela Roja","El día de trabajo",,
59744,"La Novela Roja","Lucerna y El cadáver viviente",,
59745,"La Novela Roja","El prisionero",,
59750,"La Novela Roja","Un sujeto peligroso",,
59751,"La Novela Roja","Rojo y verde",,
59753,"La Novela Roja","La maestra",,
59755,"Pegaso","El aprendiz (aguafuerte)",,
59768,"La Novela Roja","La Inquisición de Sevilla",,
59778,"La Novela Roja","Páginas de sangre",,
59781,"La Novela Roja","El presidiario. (Escenas de presidio)",,
59782,"La Novela Roja","Otro mártir. (Episodio de la represión en Barcelona)",,
59784,"La Novela Roja","Germinal",,
59785,"La Novela Roja","El 606",,
59786,"La Novela Roja","Pedro el panadero y Un sueño",,
59788,"La Novela Roja","¡Sin trabajo!",,
59790,"La Novela Roja","Sin trabajo",,
59791,"La Novela Roja","Memorias de un pícaro",,
59792,"La Novela Roja","Navidad de los pobres",,
59795,"La Novela Roja","El terror. (Brochazos de la represión en Barcelona)",,
59796,"La Novela Roja","El último atentado",,
59799,"La Novela Roja","Un asesino",,
59801,"La Novela Roja","Días trágicos",,
59802,"La Novela Roja","Horas trágicas",,
59803,"La Novela Roja","Recuerdos del zarismo",,
59806,"La Novela Roja","Camino del destierro. (Boceto de comedia popular en un acto)",,
59808,"La Novela Roja","La compañera",,
59809,"La Novela Roja","La historia de Gorrita. (Páginas del destierro)",,
