clavy_id,"nombre","recursos","género","fechas asociadas al nombre"
59686,"Seisdedos, Miguel R.","4","Hombre",
59689,"Lujambio, Juan","1",,
59690,"Amador, Antonio","1",,
59695,"Barthe, Fortunato","1","Hombre","1885-1962"
59697,"Guyot, Esther","1","Mujer",
59698,"Ferres Catalá, Eduardo","1",,
59702,"González de la Cámara, José","1","Hombre",
59705,"Pi y Margall, Francisco","1","Hombre",
59706,"Abelardo, Pedro","1","Hombre","1079-1142"
59707,"Seguí, Salvador","2","Hombre","1886-1923"
59711,"Endériz,  Ezequiel","1","Hombre","1889-1951"
59713,"Karr, Alfonso","1",,
59714,"Díez, Galo","1","Hombre",
59716,"Puig y Ferrater, Juan","1","Hombre",
59720,"Somoza Silva, Lázaro","1","Hombre",
59724,"Río del Val, José del","1","Hombre",
59726,"Marsa, Ángel","1","Hombre",
59732,"Dragomanov, Mykhailo","1","Hombre","1841-1895"
59733,"Machado, Augusto","1","Hombre",
59736,"Leval, Gastón","1",,
59739,"Andréiev, Leonid","1","Hombre","1871-1919"
59741,"Alaiz, Felipe","1",,
59742,"Marx, Karl","1","Hombre","1818-1863"
59746,"Martínez Carrasco, Alfonso","1","Hombre",
59747,"Pintado, Fernando","1","Hombre",
59752,"Quemades, Salvador","1","Hombre",
59756,"Samblancat, Ángel","3","Hombre","1885-1963"
59757,"Moya del Pino, José","1","Hombre","1891-1969"
59758,"Varela de Seijas, Enrique","5","Hombre","18??-1930"
59779,"Urales, Federico","1","Hombre","1864-1942"
59780,"García Segura, Elías","4","Hombre",
59783,"Úbeda, Rogelio","2","Hombre",
59787,"Brandao, Raúl","1","Hombre",
59789,"Tolstoi, León","2","Hombre","1828-1910"
59793,"Zola, Émile","1","Hombre","1840-1902"
59794,"Boixader, Francisco F.","1","Hombre",
59797,"Bel, Gil","1",,
59798,"Chueca, José","1",,
59800,"Polanco, Abraham","1","Hombre",
59805,"Gorki, Máximo","2","Hombre","1868-1936"
59807,"Guillén, Pascual","1",,
59811,"Pi y Arsuaga, Francisco","1","Hombre","1865-1912"
59814,"Gros, Julio","1","Hombre",
59815,"Perea, Alfredo","2","Hombre","1839-1895"
59821,"García y Barbarín, Eugenio","1","Hombre",
59823,"Torromé, Rafael","1","Hombre","1861-1924"
59826,"Álvarez y Álvarez, Fernando","1","Hombre",
59830,"Aguirre Ibáñez, Rufino","1","Hombre",
59834,"Garrán, Enrique","2","Hombre",
59847,"Escudero, Luisa","1","Mujer",
59849,"Caballero, Fernán","1","Mujer","1796-1877"
59855,"Domingo Soler, Amalia","1","Mujer","1835-1909"
59856,"Anguiz, Antonio","1","Hombre",
59857,"Baró, Teodoro","1","Hombre","1842-1916"
59863,"Antequera Azpiri, Pedro","2","Hombre","1892-1975"
59866,"Galván","1",,
59869,"Palma, Angélica","1","Mujer","1878-1935"
59874,"Bielyk","1",,
59876,"Grave, Jean","1","Hombre","1854-1939"
59879,"Bolinaga, Josefina","4","Mujer",
59881,"Helguera, Jesús de la","2","Hombre","1910-1971"
59883,"Pedrero, Mariano","1","Hombre","1865-1927"
59886,"Fatou Lucas, Francisco","1","Hombre",
59890,"Heredia de Azcona, María","1","Mujer",
59892,"Groizard, Pedro","1","Hombre",
59894,"Vigil, Constancio C.","1","Hombre",
59895,"Abril, Manuel","8","Hombre","1884-1940"
59898,"Renau, Josep","1","Hombre","1907-1982"
59902,"Climent, Enrique","3","Hombre","1897-1980"
59904,"Treves Tedeschi, Virginia","2","Mujer",
59909,"Trujillo, Federico","3","Hombre",
59911,"Icaza de Briceño, María Magdalena de","1","Mujer",
59914,"Treceño, Anastasio M.","1","Hombre",
59915,"Laporta, Francisco","1","Hombre","1850-1914"
59917,"Muiños Sáenz, Conrado","1","Hombre","1858-1913"
59918,"Taberner, Luis","1","Hombre","1844-1900"
59922,"Perrault, Charles","4","Hombre","1628-1703"
59927,"Esplandiu, Juan","1","Hombre","1901-1978"
59932,"Ceballos Quintana, Enrique","2","Hombre",
59934,"Mühlen, Herminia Zur","2","Mujer","1883-1951"
59936,"Cea de Torres, Adolfo","1","Hombre",
59937,"D. V. y C.","1",,
59938,"C. G.","1",,
59942,"A. C.","1",,
59943,"Aller Soto, Felicísimo","1","Hombre","1926-"
59944,"Puyol, R.","4",,
59945,"Villacañas Palomo, Beatriz","1","Mujer",
59958,"Vilanova y Pizcueta, Francisco de P.","1","Hombre","n. 1859"
59959,"Campflorit, C. E. de","1",,
59980,"Lozano y Rey, Luis","1","Hombre","1879-1958"
59981,"Ruiz Ferry, Ricardo","1","Hombre","(1879-1956)"
59984,"Mulder, Elisabeth","27","Mujer","(1904-1987)"
59985,"Buck, Pearl S.","1","Mujer",
59989,"Up de Graff, F. W.",0,"Hombre","(1873-1927)"
59994,"Nesbit, E.","1","Mujer","1858-1924"
59995,"Sopena, Ramón","1","Hombre","1867-1932"
59996,"Fraga, María Jesús","3","Mujer","1947-"
60003,"Oteyza, Luis de","3","Hombre","1883-1961"
60007,"Monasterios, J.O.","1",,
60008,"Segovia, Gertrudis","2","Mujer",
60009,"Quinn, Elisabeth Vernon","1","Mujer",
60012,"López Lapuya, Isidoro","2","Hombre",
60014,"Par, Anfòs","1","Hombre","1879-1936"
60021,"Miquel y Planas, Ramón","1","Hombre","1874-1950"
60024,"Ureta, Alberto","1","Hombre","1885-1966"
60028,"Mesa López, Rafael","2","Hombre",
60032,"Gil-Albert, Juan","1","Hombre","1904-1994"
60034,"León, Ricardo","33","Hombre","1877-1943"
60040,"Britton, Harold Hudson","1","Hombre",
60041,"Albaladejo, José M.","1","Hombre",
60056,"Sassone, Felipe","30","Hombre","1884-1959"
60071,"Izquierdo Corral, Pedro","1","Hombre",
60073,"Campoamor, Ramón de","2","Hombre","1817-1901"
60079,"Ferrán y Forniés, Augusto","3","Hombre","1835-1880"
60083,"Funes, Enrique","1","Hombre","1851-1904"
60086,"Muñoz, Isaac","4","Hombre","1881-1925"
60093,"Pérez, Dionisio","7","Hombre","1871-1935"
60095,"Echegaray, José de","6","Hombre","1832-1916"
60097,"Nola, Roberto de","1","Hombre","S.XV"
60103,"Maseras, Alfons","1","Hombre","1884-"
60108,"Rusiñol, Santiago","6","Hombre","1861-1931"
60112,"Gardner, May","1","Mujer",
60113,"Owen, Arthur Leslie","2","Hombre","1885-"
60115,"Álvarez Quintero, Joaquín","6","Hombre","1873-1944"
60116,"Boscán, Juan","1","Hombre","d. 1542."
60117,"Vega, Garcilaso de la","1","Hombre","1503-1536"
60120,"Alvarez Quintero, Serafín","6","Hombre","1871-1938"
60121,"Turrell, Charles Alfred","1","Hombre",
60125,"Torres Bernal, José de","4","Hombre",
60137,"Aparicio, Manuel J.","1","Hombre",
60140,"Sarrailh, Jean","1","Hombre","1891-1964"
60144,"Urrabieta Vierge, Daniel","1","Hombre","1851-1904"
60156,"Vivero, Augusto","10","Hombre","1879-1939"
60157,"Villa, Antonio de la","1","Hombre","1881-1963"
60160,"Ford, Richard","1","Hombre","1796-1858"
60162,"Wencker, Friedrich","1","Hombre","1896-1970"
60169,"Ruiz Martínez, Cándido","1","Hombre","(n. 1862)"
60174,"Pagano, José León","1","Hombre","1875-1965"
60176,"Más y Laglera, José","14","Hombre","1885-1941"
60180,"González Olmedilla, Juan","2","Hombre","1893-"
60181,"Unamuno, Miguel de","3","Hombre","1864-1936"
60182,"Hood, George W.","1","Hombre",
60187,"Saavedra Rivas, Ángel de","3","Hombre","1791-1865"
60210,"García Carraffa, Arturo","8","Hombre","1885-"
60220,"López de Haro, Rafael","10","Hombre","1876-1967"
60228,"Ingraham, Edgar Shugert","1","Hombre","1876-"
60230,"López Alarcón, Enrique","7","Hombre","1881-1948"
60241,"Fernández-Flórez, Wenceslao","20","Hombre","1885-1964"
60244,"Gutiérrez González, Gregorio","2","Hombre","1826-1872"
60247,"Jurado de la Parra, José","1","Hombre","1856-1943"
60252,"Fernández de la Fuente, Manuel","1","Hombre",
60259,"González Anaya, Salvador","12","Hombre","1879-1955"
60301,"Gálvez, Manuel","1","Hombre","1882-1962"
60313,"Andeyro del Castillo, Eduardo","1","Hombre",
60329,"Aguilar y Tejera, Agustín","2","Hombre","1890-"
